Paths,Real labels
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena bimaculata/El.gritche/Andrena bimaculata f - 19 III 2023 .jpg,Andrena bimaculata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena bimaculata/El.gritche/Andrena bimaculata f - 16 III 2023 c.jpg,Andrena bimaculata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena bimaculata/El.gritche/Andrena bimaculata f - 16 III 2023 b .jpg,Andrena bimaculata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Anthophora aestivalis/Rolf Nagel/Rolf Nagel-AlmyBee-20-8233-Anthophora aestivalis.jpg,Anthophora aestivalis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Anthophora aestivalis/Rolf Nagel/Rolf Nagel-AlmyBee-20-8228-Anthophora aestivalis.jpg,Anthophora aestivalis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Anthophora aestivalis/Rolf Nagel/Rolf Nagel-AlmyBee-20-8895-Anthophora aestivalis.jpg,Anthophora aestivalis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum sexnotatum/Jaco Visser/Lasioglossum sexnotatum .jpg,Lasioglossum sexnotatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum sexnotatum/Jaco Visser/Lasioglossum sexnotatum b.jpg,Lasioglossum sexnotatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum sexnotatum/Rolf Nagel/Rolf Nagel-AlmyBee-21-8412-Lasioglossum sexnotatum.jpg,Lasioglossum sexnotatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum sexnotatum/Rolf Nagel/Rolf Nagel-AlmyBee-19-4817-Lasioglossum sexnotatum.jpg,Lasioglossum sexnotatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum sexnotatum/Rolf Nagel/Rolf Nagel-AlmyBee-21-8401-Lasioglossum sexnotatum.jpg,Lasioglossum sexnotatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum sexnotatum/Rolf Nagel/Rolf Nagel-AlmyBee-19-4813-Lasioglossum sexnotatum.jpg,Lasioglossum sexnotatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena wilkella/Jaco Visser/Andrena wilkella-repTcheque-3.jpg,Andrena wilkella
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena wilkella/Jaco Visser/Andrena wilkella-repTcheque-4.jpg,Andrena wilkella
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena wilkella/Jaco Visser/Andrena wilkella-repTcheque-5.jpg,Andrena wilkella
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena wilkella/Jaco Visser/Andrena wilkella-repTcheque.jpg,Andrena wilkella
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena wilkella/Jaco Visser/Andrena wilkella-repTcheque-2.jpg,Andrena wilkella
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena wilkella/Rolf Nagel/Rolf Nagel-AlmyBee-16-8574-Andrena wilkella.jpg,Andrena wilkella
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Seladonia subaurata/El.gritche/Seladonia subaurata f - 22 III 2023 b.jpg,Seladonia subaurata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Seladonia subaurata/El.gritche/Seladonia subaurata f - 22 III 2023 .jpg,Seladonia subaurata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Seladonia subaurata/El.gritche/Seladonia subaurata f - 22 III 2023 c.jpg,Seladonia subaurata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena ranunculi/observator/Andrena ranunculi m - 07 IV 2022 .jpg,Andrena ranunculi
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena ranunculi/observator/Andrena ranunculi m - 03 IV 2023 .jpg,Andrena ranunculi
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena ranunculi/observator/Andrena ranunculi m - 10 IV 2023 .jpg,Andrena ranunculi
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena ranunculi/observator/Andrena ranunculi m - 05 IV 2023 .jpg,Andrena ranunculi
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena ranunculi/observator/Andrena ranunculi m - 14 IV 2022 .jpg,Andrena ranunculi
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Osmia latreillei/Jaco Visser/Osmia latreillei_ f-Madeira Portugal.jpg,Osmia latreillei
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Osmia latreillei/Jaco Visser/Osmia latreillei_ f-Madeira Portugal-2.jpg,Osmia latreillei
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Osmia bicornis/Jaco Visser/Osmia bicornis b.jpg,Osmia bicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Osmia bicornis/Jaco Visser/Osmia bicornis .jpg,Osmia bicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Osmia bicornis/Jaco Visser/Osmia bicornis NL .jpg,Osmia bicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Osmia bicornis/Jaco Visser/Osmia bicornis c.jpg,Osmia bicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Osmia bicornis/Jaco Visser/Osmia bicornis d.jpg,Osmia bicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Osmia bicornis/El.gritche/Osmia bicornis m - 04 IV 2023 .jpg,Osmia bicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Osmia bicornis/El.gritche/Osmia bicornis m - 18 III 2023 .jpg,Osmia bicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Osmia bicornis/El.gritche/Osmia bicornis m - 05 IV 2022 .jpg,Osmia bicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Bombus pratorum/Jaco Visser/Bombus pratorum .jpg,Bombus pratorum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Halictus scabiosae/Jaco Visser/Halictus scabiosae-repTcheque-2.jpg,Halictus scabiosae
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Halictus scabiosae/Jaco Visser/Halictus scabiosae-repTcheque-4.jpg,Halictus scabiosae
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Halictus scabiosae/Jaco Visser/Halictus scabiosae-repTcheque-3.jpg,Halictus scabiosae
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Halictus scabiosae/Jaco Visser/Halictus scabiosae-repTcheque-5.jpg,Halictus scabiosae
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Halictus scabiosae/Jaco Visser/Halictus scabiosae-repTcheque.jpg,Halictus scabiosae
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Halictus scabiosae/El.gritche/El.gritche_Halictus scabiosae f - 19 VI 2022b.jpg,Halictus scabiosae
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Coelioxys aurolimbata/Rolf Nagel/Rolf Nagel-AlmyBee-20-8165-Coelioxys aurolimbata.jpg,Coelioxys aurolimbata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Coelioxys aurolimbata/Rolf Nagel/Rolf Nagel-AlmyBee-20-7324-Coelioxys aurolimbata.jpg,Coelioxys aurolimbata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Bombus terrestris/Jaco Visser/Bombus terrestris Q-Belgium-2.jpg,Bombus terrestris
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Bombus terrestris/Jaco Visser/Bombus terrestris Q.jpg,Bombus terrestris
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum politum/El.gritche/Lasioglossum politum f - 03 IV 2023 .jpg,Lasioglossum politum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum politum/El.gritche/Lasioglossum politum f - 03 IV 2022 .jpg,Lasioglossum politum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum politum/El.gritche/Lasioglossum politum f - 13 III 2023 .jpg,Lasioglossum politum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum politum/El.gritche/Lasioglossum politum f - 30 III 2023 .jpg,Lasioglossum politum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena fulvago/Rolf Nagel/Rolf Nagel-AlmyBee-16-8650-Andrena fulvago.jpg,Andrena fulvago
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena fulvago/Rolf Nagel/Rolf Nagel-AlmyBee-16-8658-Andrena fulvago.jpg,Andrena fulvago
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena barbilabris/Jaco Visser/Andrena barbilabris .jpg,Andrena barbilabris
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena barbilabris/Jaco Visser/Andrena barbilabris e.jpg,Andrena barbilabris
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena barbilabris/Jaco Visser/Andrena barbilabris c.jpg,Andrena barbilabris
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena barbilabris/Jaco Visser/Andrena barbilabris g.jpg,Andrena barbilabris
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena barbilabris/Jaco Visser/Andrena barbilabris d.jpg,Andrena barbilabris
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena barbilabris/Jaco Visser/Andrena barbilabris b.jpg,Andrena barbilabris
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Bombus pyrenaeus/Jaco Visser/Bombus pyrenaeus.jpg,Bombus pyrenaeus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Bombus pyrenaeus/Jaco Visser/Bombus pyrenaeus 2.jpg,Bombus pyrenaeus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Bombus pyrenaeus/Jaco Visser/Bombus pyrenaeus 5 Slovakia.jpg,Bombus pyrenaeus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Bombus pyrenaeus/Jaco Visser/Bombus pyrenaeus 4 Slovakia.jpg,Bombus pyrenaeus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Bombus pyrenaeus/Jaco Visser/Bombus pyrenaeus 3 Slovakia.jpg,Bombus pyrenaeus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Coelioxys elongata/Rolf Nagel/Rolf Nagel-AlmyBee-17-1766-Coelioxys elongata.jpg,Coelioxys elongata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena nitida/Jaco Visser/Andrena nitida_ f NL 2.jpg,Andrena nitida
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena nitida/Jaco Visser/Andrena nitida f - NL 4.jpg,Andrena nitida
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena nitida/Jaco Visser/Andrena nitida_ m.jpg,Andrena nitida
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena nitida/Jaco Visser/Andrena nitida_ m NL 3.jpg,Andrena nitida
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena nitida/Jaco Visser/Andrena nitida f - Belgium 2.jpg,Andrena nitida
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena nitida/Jaco Visser/Andrena nitida f - NL 2.jpg,Andrena nitida
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena nitida/Jaco Visser/Andrena nitida f - NL 3.jpg,Andrena nitida
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena nitida/Jaco Visser/Andrena nitida f - NL.jpg,Andrena nitida
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena nitida/Jaco Visser/Andrena nitida f - Belgium.jpg,Andrena nitida
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena nitida/Jaco Visser/Andrena nitida_ m NL 2.jpg,Andrena nitida
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena nitida/Jaco Visser/Andrena nitida_ f NL.jpg,Andrena nitida
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena nitida/El.gritche/Andrena nitida f - 23 III 2023 .jpg,Andrena nitida
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada flava/Jaco Visser/Nomada flava_ m NL 3.jpg,Nomada flava
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada flava/Jaco Visser/Nomada flava_ m NL 2.jpg,Nomada flava
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada flava/Jaco Visser/Nomada flava Belgium 2.jpg,Nomada flava
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada flava/Jaco Visser/Nomada flava_ m NL.jpg,Nomada flava
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada flava/Jaco Visser/Nomada flava Belgium.jpg,Nomada flava
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada flava/Rolf Nagel/Rolf Nagel-AlmyBee-15-8644-Nomada flava.jpg,Nomada flava
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada flava/Rolf Nagel/Rolf Nagel-AlmyBee-15-8611-Nomada flava.jpg,Nomada flava
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada flava/Rolf Nagel/Rolf Nagel-AlmyBee-15-8634-Nomada flava.jpg,Nomada flava
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada flava/Rolf Nagel/Rolf Nagel-AlmyBee-15-8636-Nomada flava.jpg,Nomada flava
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada flava/Rolf Nagel/Rolf Nagel-AlmyBee-15-8594-Nomada flava.jpg,Nomada flava
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada flava/Rolf Nagel/Rolf Nagel-AlmyBee-15-8626-Nomada flava.jpg,Nomada flava
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada flava/Rolf Nagel/Rolf Nagel-AlmyBee-15-8614-Nomada flava.jpg,Nomada flava
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada flava/Rolf Nagel/Rolf Nagel-AlmyBee-15-8601-Nomada flava.jpg,Nomada flava
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada flava/Rolf Nagel/Rolf Nagel-AlmyBee-15-8612-Nomada flava.jpg,Nomada flava
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada flava/Rolf Nagel/Rolf Nagel-AlmyBee-15-8607-Nomada flava.jpg,Nomada flava
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada flava/Rolf Nagel/Rolf Nagel-AlmyBee-15-8610-Nomada flava.jpg,Nomada flava
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum pallens/El.gritche/Lasioglossum pallens f - 05 IV 2023 .jpg,Lasioglossum pallens
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum pallens/El.gritche/Lasioglossum pallens m - 21 III 2023 .jpg,Lasioglossum pallens
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum pallens/El.gritche/Lasioglossum pallens f - 05 IV 2023 e.jpg,Lasioglossum pallens
