Paths,Real labels
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena ovatula/Andrena-ovatula_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0868.JPG,Andrena ovatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena ovatula/Andrena-gr-ovatula_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6878.JPG,Andrena ovatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena ovatula/Andrena-ovatula_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0849.JPG,Andrena ovatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena ovatula/Andrena-ovatula_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0853.JPG,Andrena ovatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena ovatula/Andrena-gr-ovatula_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6885.JPG,Andrena ovatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena ovatula/Andrena-ovatula_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0844.JPG,Andrena ovatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena ovatula/Andrena-ovatula_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0851.JPG,Andrena ovatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena ovatula/Andrena-ovatula_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0854.JPG,Andrena ovatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena ovatula/Andrena-ovatula_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0866.JPG,Andrena ovatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena ovatula/Andrena-ovatula_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0893.JPG,Andrena ovatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena ovatula/Andrena-ovatula_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0843.JPG,Andrena ovatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena ovatula/Andrena-ovatula_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0856.JPG,Andrena ovatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena ovatula/Andrena-gr-ovatula_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6886.JPG,Andrena ovatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena vulpecula/Andrena-vulpecula_f_Conilhac-Corbieres-11_15-IV-2021_IMG_6102.JPG,Andrena vulpecula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena vulpecula/Andrena-vulpecula_f_Conilhac-Corbieres-11_15-IV-2021_IMG_6106.JPG,Andrena vulpecula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena vulpecula/Andrena-vulpecula_f_Conilhac-Corbieres-11_15-IV-2021_IMG_6094.JPG,Andrena vulpecula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena vulpecula/Andrena-vulpecula_f_Conilhac-Corbieres-11_15-IV-2021_IMG_6108.JPG,Andrena vulpecula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena vulpecula/Andrena-vulpecula_f_Conilhac-Corbieres-11_15-IV-2021_IMG_6085.JPG,Andrena vulpecula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena vulpecula/Andrena-vulpecula_f_Conilhac-Corbieres-11_15-IV-2021_IMG_6114.JPG,Andrena vulpecula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena vulpecula/Andrena-vulpecula_f_Conilhac-Corbieres-11_15-IV-2021_IMG_6103.JPG,Andrena vulpecula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena vulpecula/Andrena-vulpecula_f_Conilhac-Corbieres-11_15-IV-2021_IMG_6107.JPG,Andrena vulpecula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena vulpecula/Andrena-vulpecula_f_Conilhac-Corbieres-11_15-IV-2021_IMG_6093.JPG,Andrena vulpecula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena vulpecula/Andrena-vulpecula_f_Conilhac-Corbieres-11_15-IV-2021_IMG_6104.JPG,Andrena vulpecula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena vulpecula/Andrena-vulpecula_f_Conilhac-Corbieres-11_15-IV-2021_IMG_6096.JPG,Andrena vulpecula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Hoplosmia/Hoplosmia-sp_f_Torreilles-66_26-VI-2021_IMG_3557.JPG,Hoplosmia
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Hoplosmia/Hoplosmia-sp_f_Torreilles-66_26-VI-2021_IMG_3550.JPG,Hoplosmia
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Hoplosmia/Hoplosmia-sp_f_Torreilles-66_26-VI-2021_IMG_3558.JPG,Hoplosmia
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Hoplosmia/Hoplosmia-sp_f_Torreilles-66_26-VI-2021_IMG_3553.JPG,Hoplosmia
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Hoplosmia/Hoplosmia-sp_f_Torreilles-66_26-VI-2021_IMG_3560.JPG,Hoplosmia
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Hoplosmia/Hoplosmia-sp_f_Torreilles-66_26-VI-2021_IMG_3544.JPG,Hoplosmia
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Hoplosmia/Hoplosmia-sp_f_Torreilles-66_26-VI-2021_IMG_3549.JPG,Hoplosmia
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Anthidium/Anthidium-sp_Gruissan-11_03-VII-2021_IMG_4150.JPG,Anthidium
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Anthidium/Anthidium-sp_f_Vaychis-09_28-VIII-2021_IMG_2311.JPG,Anthidium
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Anthidium/Anthidium-sp_f_Ferrals-les-Corbieres-11_27-V-2021_IMG_4950.JPG,Anthidium
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Anthidium/Anthidium-sp_f_Ferrals-les-Corbieres-11_30-V-2021_IMG_6028.JPG,Anthidium
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Anthidium/Anthidium-sp_f_Ferrals-les-Corbieres-11_12-VI-2021_IMG_8796.JPG,Anthidium
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Anthidium/Anthidium-sp_f_Ferrals-les-Corbieres-11_30-V-2021_IMG_6010.JPG,Anthidium
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Anthidium/Anthidium-sp_Gruissan-11_03-VII-2021_IMG_4157.JPG,Anthidium
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Anthidium/Anthidium-sp_f_Ferrals-les-Corbieres-11_30-V-2021_IMG_6005.JPG,Anthidium
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Anthidium/Anthidium-sp_Gruissan-11_03-VII-2021_IMG_4145.JPG,Anthidium
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Anthidium/Anthidium-sp_f_Ferrals-les-Corbieres-11_30-V-2021_IMG_5704.JPG,Anthidium
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Anthidium/Anthidium-sp_Ferrals-les-Corbieres-11_27-V-2021_IMG_4400.JPG,Anthidium
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Anthidium/Anthidium-sp_f_Ferrals-les-Corbieres-11_30-V-2021_IMG_5701.JPG,Anthidium
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Anthidium/Anthidium-sp_Prades-09_20-V-2021_IMG_2359.JPG,Anthidium
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Systropha curvicornis/Systropha-curvicornis_m_Ferrals-les-Corbieres-11_21-VI-2021_IMG_1775.JPG,Systropha curvicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena fuscosa/Andrena-fuscosa_f_Torreilles-66_26-VI-2021_IMG_3413.JPG,Andrena fuscosa
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena fuscosa/Andrena-fuscosa_f_Torreilles-66_26-VI-2021_IMG_3416.JPG,Andrena fuscosa
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Rhodanthidium septemdentatum/Anthidium-septemdentatum_f_Ferrals-les-Corbieres-11_21-VI-2021_IMG_1591.JPG,Rhodanthidium septemdentatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Rhodanthidium septemdentatum/Rhodanthidium-septemdentatum_m_Boutenac-11_03-V-2021_IMG_8523.JPG,Rhodanthidium septemdentatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Rhodanthidium septemdentatum/Anthidium-septemdentatum_f_Ferrals-les-Corbieres-11_21-VI-2021_IMG_1582.JPG,Rhodanthidium septemdentatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Rhodanthidium septemdentatum/Anthidium-septemdentatum_f_Ferrals-les-Corbieres-11_21-VI-2021_IMG_1599.JPG,Rhodanthidium septemdentatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Rhodanthidium septemdentatum/Anthidium-septemdentatum_m_Ferrals-les-Corbieres-11_21-V-2021_IMG_2830.JPG,Rhodanthidium septemdentatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Rhodanthidium septemdentatum/Anthidium-septemdentatum_f_Ferrals-les-Corbieres-11_21-VI-2021_IMG_1573.JPG,Rhodanthidium septemdentatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Rhodanthidium septemdentatum/Anthidium-septemdentatum_m_Ferrals-les-Corbieres-11_21-V-2021_IMG_2836.JPG,Rhodanthidium septemdentatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Nomada mocsaryi/Nomada-mocsaryi_f_Ferrals-les-Corbieres-11_16-VI-2021_IMG_0500.JPG,Nomada mocsaryi
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceylalictus variegatus/Ceylalictus-variegatus_Ferrals-les-Corbieres-11_17-juillet-2021_IMG_7388.JPG,Ceylalictus variegatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceylalictus variegatus/Ceylalictus-variegatus_Gruissan-11_03-VII-2021_IMG_4125.JPG,Ceylalictus variegatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceylalictus variegatus/Ceylalictus-variegatus_Ferrals-les-Corbieres-11_17-juillet-2021_IMG_7385.JPG,Ceylalictus variegatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceylalictus variegatus/Ceylalictus-variegatus_Gruissan-11_03-VII-2021_IMG_4119.JPG,Ceylalictus variegatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceylalictus variegatus/Ceylalictus-variegatus_Ferrals-les-Corbieres-11_17-juillet-2021_IMG_7377.JPG,Ceylalictus variegatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceylalictus variegatus/Ceylalictus-variegatus_m_Gruissan-11_03-VII-2021_IMG_4082.JPG,Ceylalictus variegatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceylalictus variegatus/Ceylalictus-variegatus_Ferrals-les-Corbieres-11_17-juillet-2021_IMG_7372.JPG,Ceylalictus variegatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceylalictus variegatus/Ceylalictus-variegatus_Ferrals-les-Corbieres-11_17-juillet-2021_IMG_7376.JPG,Ceylalictus variegatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceylalictus variegatus/Ceylalictus-variegatus_Ferrals-les-Corbieres-11_17-juillet-2021_IMG_7375.JPG,Ceylalictus variegatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceylalictus variegatus/Ceylalictus-variegatus_m_Gruissan-11_03-VII-2021_IMG_4035.JPG,Ceylalictus variegatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceylalictus variegatus/Ceylalictus-variegatus_m_Gruissan-11_03-VII-2021_IMG_4036.JPG,Ceylalictus variegatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceylalictus variegatus/Ceylalictus-variegatus_Ferrals-les-Corbieres-11_17-juillet-2021_IMG_7378.JPG,Ceylalictus variegatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceylalictus variegatus/Ceylalictus-variegatus_m_Gruissan-11_03-VII-2021_IMG_4083.JPG,Ceylalictus variegatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Ceylalictus variegatus/Ceylalictus-variegatus_m_Gruissan-11_03-VII-2021_IMG_4081.JPG,Ceylalictus variegatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_f_Torreilles-66_26-VI-2021_IMG_3040.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_f_Torreilles-66_26-VI-2021_IMG_3468.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_f_Torreilles-66_26-VI-2021_IMG_3167.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_m_Torreilles-66_26-VI-2021_IMG_2958.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_f_Torreilles-66_26-VI-2021_IMG_3022.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_f_Torreilles-66_26-VI-2021_IMG_3164.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_f_Torreilles-66_26-VI-2021_IMG_3166.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_m_Torreilles-66_26-VI-2021_IMG_3235.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_m_Torreilles-66_26-VI-2021_IMG_3241.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_f_Torreilles-66_26-VI-2021_IMG_3475.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_f_Torreilles-66_26-VI-2021_IMG_3045.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_m_Torreilles-66_26-VI-2021_IMG_3271.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_m_Torreilles-66_26-VI-2021_IMG_3061.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_m_Torreilles-66_26-VI-2021_IMG_3240.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_f_Torreilles-66_26-VI-2021_IMG_2959.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_m_Torreilles-66_26-VI-2021_IMG_3280.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_m_Torreilles-66_26-VI-2021_IMG_3066.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_m_Torreilles-66_26-VI-2021_IMG_2953.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_f_Torreilles-66_26-VI-2021_IMG_3042.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_m_Torreilles-66_26-VI-2021_IMG_3236.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_m_Torreilles-66_26-VI-2021_IMG_3276.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_m_Torreilles-66_26-VI-2021_IMG_3341.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_m_Torreilles-66_26-VI-2021_IMG_3239.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_f_Torreilles-66_26-VI-2021_IMG_3269.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_f_Torreilles-66_26-VI-2021_IMG_2966.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_f_Torreilles-66_26-VI-2021_IMG_2948.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_m_Torreilles-66_26-VI-2021_IMG_3237.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_f_Torreilles-66_26-VI-2021_IMG_3162.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_f_Torreilles-66_26-VI-2021_IMG_2965.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda visnaga/Dasypoda-visnaga_f_Torreilles-66_26-VI-2021_IMG_3476.JPG,Dasypoda visnaga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Anthophora aestivalis/Anthophora-aestivalis_f_Prades-09_13-VI-2021_IMG_9182.JPG,Anthophora aestivalis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Anthophora aestivalis/Anthophora-aestivalis_f_Prades-09_13-VI-2021_IMG_9159.JPG,Anthophora aestivalis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Nomada basalis/Nomada-basalis_f_Ferrals-les-Corbieres-11_16-VI-2021_IMG_9836.JPG,Nomada basalis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Nomada basalis/Nomada-basalis_f_Ferrals-les-Corbieres-11_16-VI-2021_IMG_0522.JPG,Nomada basalis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Nomada basalis/Nomada-basalis_f_Ferrals-les-Corbieres-11_16-VI-2021_IMG_9833.JPG,Nomada basalis
