Paths,Real labels
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Lithurgus/Lithurgus cornutus/Lithurgus_cornutus_male.jpeg,Lithurgus cornutus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Lithurgus/Lithurgus cornutus/Lithurgus_cornutus_male_unused.jpeg,Lithurgus cornutus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Lithurgus/Lithurgus cornutus/Lithurgus_cornutus_male_used.jpeg,Lithurgus cornutus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Lithurgus/Lithurgus chrysurus/Lithurgus_chrysurus_male.jpeg,Lithurgus chrysurus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Lithurgus/Lithurgus chrysurus/Lithurgus_chrysurus_female.jpeg,Lithurgus chrysurus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Rhodanthidium/Rhodanthidium septemdentatum/Anthidium_septemdentatum_male.jpeg,Rhodanthidium septemdentatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Rhodanthidium/Rhodanthidium septemdentatum/classical_Anthidium_-_Anthidium_septemdentatum_male.jpeg,Rhodanthidium septemdentatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Rhodanthidium/Rhodanthidium septemdentatum/Rhodanthidium_septemdentatum_male.jpeg,Rhodanthidium septemdentatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Rhodanthidium/Rhodanthidium stictitum/Rhodanthidium_stictitum_male.jpeg,Rhodanthidium stictitum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Rhodanthidium/Rhodanthidium stictitum/Anthidium_stictitum.jpeg,Rhodanthidium stictitum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Rhodanthidium/Rhodanthidium stictitum/Anthidium_spleepticum_sticticum_female_and_Iris_lutescens.jpeg,Rhodanthidium stictitum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Creightonella/Creightonella albisecta/Megachile_Creightonella_albisecta_male_and_female.jpeg,Creightonella albisecta
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Creightonella/Creightonella albisecta/Creightonella_albisecta_female.jpeg,Creightonella albisecta
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Creightonella/Creightonella albisecta/Creigthonella_albisecta_female.jpeg,Creightonella albisecta
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Creightonella/Creightonella albisecta/Megachile_Creigthonella_albisecta_female.jpeg,Creightonella albisecta
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Creightonella/Creightonella albisecta/Megachile_Creightonella_albisecta_female.jpeg,Creightonella albisecta
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Chelostoma/Foveosmia/Chelostoma (Foveosmia) foveolatum/Chelostoma_foveolatum_male.jpeg,Chelostoma foveolatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Chelostoma/Chelostoma/Chelostoma distinctum/Chelostoma_distinctum_females.jpeg,Chelostoma distinctum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Chelostoma/Chelostoma/Chelostoma distinctum/Chelostoma_distinctum_male.jpeg,Chelostoma distinctum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Chelostoma/Chelostoma/Chelostoma campanularum/Chelostoma_campanularum_male.jpeg,Chelostoma campanularum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Chelostoma/Chelostoma/Chelostoma (Chelostoma) rapunculi/Chelostoma_emarginatum_male.jpeg,Chelostoma rapunculi
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Chelostoma/Chelostoma/Chelostoma (Chelostoma) rapunculi/Chelostoma_rapunculi_male.jpeg,Chelostoma rapunculi
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Chelostoma/Chelostoma/Chelostoma florisomne/Chelostoma_florisomne_male.jpeg,Chelostoma florisomne
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Chelostoma/Chelostoma/Chelostoma florisomne/Chelostoma_florisomne_female.jpeg,Chelostoma florisomne
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Stelis/Stelis punctulatissimum/Stelis_punctulatissima_male.jpeg,Stelis punctulatissimum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Stelis/Stelis punctulatissimum/Stelis_punctulatissima_female.jpeg,Stelis punctulatissimum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Stelis/Stelis breviuscula/Stelis_breviuscula_female.jpeg,Stelis breviuscula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Stelis/Stelis breviuscula/Stelis_breviuscula_female_and_male.jpeg,Stelis breviuscula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Stelis/Stelis phaeroptera/Stelis_phaeoptera_male.jpeg,Stelis phaeroptera
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Stelis/Stelis annulata/Stelis_annulata.jpeg,Stelis annulata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Stelis/Stelis annulata/Stelis_annulata_female.jpeg,Stelis annulata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Hoplosmia/Osmia (Hoplosmia) spinulosa/Osmia_spinulosa_male.jpeg,Osmia spinulosa
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Hoplosmia/Osmia (Hoplosmia) spinulosa/Osmia_spinulosa_female.jpeg,Osmia spinulosa
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Hoplosmia/Osmia (Hoplosmia) anceyi/Osmia_anceyi_female.jpeg,Osmia anceyi
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Pyrosmia/Osmia (Pyrosmia) gallarum/Osmia_gallarum_female.jpeg,Osmia gallarum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Helicosmia/Osmia caerulescens/Osmia_caerulescens_female.jpeg,Osmia caerulescens
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Helicosmia/Osmia (Helicosmia) signata/Osmia_signata_female.jpeg,Osmia signata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Helicosmia/Osmia (Helicosmia) aurulenta/Osmia_aurulenta_female.jpeg,Osmia aurulenta
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Helicosmia/Osmia (Helicosmia) leaiana/Osmia_leaiana_female.jpeg,Osmia leaiana
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Helicosmia/Osmia (Helicosmia) dimidiata/Osmia_dimidiata_male.jpeg,Osmia dimidiata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Helicosmia/Osmia fulviventris/Osmia_fulviventris_=niveata_male.jpeg,Osmia fulviventris
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Helicosmia/Osmia fulviventris/Osmia_fulviventris_female.jpeg,Osmia fulviventris
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Erythrosmia/Osmia (Erythrosmia) andrenoides/Lilliputian_and_the_Sedum's_country_-_Osmia_andrenoïdes_female.jpeg,Osmia andrenoides
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Melanosmia/Osmia xanthomelana/Osmia_xanthomelana_male.jpeg,Osmia xanthomelana
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Metalinella/Metalinella/Osmia_Metalinella_brevicornis_female.jpeg,Metalinella
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Osmia/Osmia (osmia) cornuta/Osmia_cornuta_male.jpeg,Osmia cornuta
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Osmia/Osmia (osmia) cornuta/My_private_home_of_Osmia_cornuta.jpeg,Osmia cornuta
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Osmia/Osmia bicornis/Osmia_bicornis_male.jpeg,Osmia bicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Osmia/Osmia bicornis/Different_love_Osmia_rufa_males.jpeg,Osmia bicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Osmia/Osmia bicornis/Osmia_Osmia_bicornis_old_female.jpeg,Osmia bicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Osmia/Osmia bicornis/Osmia_rufa_=_bicornis_female.jpeg,Osmia bicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Osmia/Osmia emarginata/Osmia_emarginata_nest.jpeg,Osmia emarginata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Osmia/Allosmia/Osmia (Allosmia) rufohirta/Osmia_rufohirta_female.jpeg,Osmia rufohirta
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Anthidiellum/Anthidiellum strigatum/Symetrical_-_Anthidiellum_strigatum_male.jpeg,Anthidiellum strigatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Anthidiellum/Anthidiellum strigatum/Anthidiellum_strigatum_nest.jpeg,Anthidiellum strigatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Anthidiellum/Anthidiellum strigatum/Anthidiellum_strigatum_female.jpeg,Anthidiellum strigatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Anthidiellum/Anthidiellum strigatum/Anthidiellum_strigatum.jpeg,Anthidiellum strigatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Coelioxys/Coelioxys conoidea/Coelioxys_conoidea_male.jpeg,Coelioxys conoidea
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Coelioxys/Coelioxys inermis/Coelioxys_inermis_female.jpeg,Coelioxys inermis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Coelioxys/Coelioxys sp/Coelioxys_sp.jpeg,Coelioxys sp
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Hoplitis/Hoplitis jakovlevi/Hoplitis_jakovlevi_male.jpeg,Hoplitis jakovlevi
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Hoplitis/Hoplitis adunca/Hoplitis_adunca_female.jpeg,Hoplitis adunca
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Hoplitis/Hoplitis lithodorae/Hoplitis_lithodorae_male.jpeg,Hoplitis lithodorae
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Hoplitis/Hoplitis bisulca/Hoplitis_bisculca_female.jpeg,Hoplitis bisulca
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Hoplitis/Hoplitis perezi/Hoplitis_perezi_male.jpeg,Hoplitis perezi
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Hoplitis/Hoplitis cristatula/Osmia_cristatula_female.jpeg,Hoplitis cristatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Hoplitis/Hoplitis cristatula/Hoplitis_jakovlevi_male.jpeg,Hoplitis cristatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Hoplitis/Hoplitis cristatula/Osmia_cristatula_male_used.jpeg,Hoplitis cristatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Hoplitis/Hoplitis cristatula/Hoplitis_cristatula_female.jpeg,Hoplitis cristatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Hoplitis/Hoplitis mucidoides/Hoplitis_mucida_female.jpeg,Hoplitis mucidoides
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Hoplitis/Hoplitis mucidoides/Hoplitis_mucida_females.jpeg,Hoplitis mucidoides
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Hoplitis/Hoplitis mucidoides/Hoplitis_mucida_nesting_site.jpeg,Hoplitis mucidoides
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Heriades/Heriades crenulatus/Heriades_crenulatus_female.jpeg,Heriades crenulatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Heriades/Heriades crenulatus/Heriades_crenulatus_male.jpeg,Heriades crenulatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Heriades/Heriades truncorum/Heriades_truncorum_female.jpeg,Heriades truncorum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Trachusa/Trachusa interrupta/Trachusa_interrupta_male.jpeg,Trachusa interrupta
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Trachusa/Trachusa interrupta/Trachusa_interrupta_female.jpeg,Trachusa interrupta
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Trachusa/Trachusa integra/Trachusa_integra_male.jpeg,Trachusa integra
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Trachusa/Trachusa integra/Trachusa_integra_female.jpeg,Trachusa integra
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Trachusa/Trachusa byssina/Trachusa_byssina_male.jpeg,Trachusa byssina
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Dioxys/Dioxys cincta/Dioxys_cincta_female.jpeg,Dioxys cincta
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Dioxys/Dioxys cincta/Dioxys_cincta.jpeg,Dioxys cincta
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Eutrichaerea/Megachile (Eutrichaerea) leachella/Megachile_leachella_female.jpeg,Megachile leachella
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Eutrichaerea/Megachile (Eutrichaerea) pilidens/Megachile_pilidens_female.jpeg,Megachile pilidens
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Eutrichaerea/Megachile (Eutrichaerea) apicalis/Meagchile_apicalis_female.jpeg,Megachile apicalis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Eutrichaerea/Megachile (Eutrichaerea) apicalis/Megachile_apicalis_female.jpeg,Megachile apicalis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Xanthosarus/Megachile (Xanthosarus) willughbiella/Andrena_willughbiella_female.jpeg,Megachile willughbiella
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Xanthosarus/Megachile (Xanthosarus) willughbiella/Megachile_willughbiella_female.jpeg,Megachile willughbiella
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Xanthosarus/Megachile (Xanthosarus) lagopoda/Megachile_lagopoda_female.jpeg,Megachile lagopoda
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Xanthosarus/Megachile (Xanthosarus) maritima/Megachile_maritima_female.jpeg,Megachile maritima
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Xanthosarus/Megachile (Xanthosarus) maritima/Megachile_maritima_male.jpeg,Megachile maritima
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Xanthosarus/Megachile (Xanthosarus) nigriventris/Megachile_nigriventris_female.jpeg,Megachile nigriventris
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Chalicodoma/Megachile (Chalicodoma) pyrenaica/Megachile_pyrenaica_female.jpeg,Megachile pyrenaica
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Chalicodoma/Megachile (Chalicodoma) pyrenaica/Megachile_Chalicodoma_pyrenaica_female.jpeg,Megachile pyrenaica
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Chalicodoma/Megachile (Chalicodoma) pyrenaica/Megachile_Chalicodoma_pyrenaica_male.jpeg,Megachile pyrenaica
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Chalicodoma/Megachile (Chalicodoma) parietina/Megachile_Chalicodoma_parietina_male.jpeg,Megachile parietina
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Chalicodoma/Megachile (Chalicodoma) parietina/Megachile_parietina_female.jpeg,Megachile parietina
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Chalicodoma/Megachile (Chalicodoma) rufescens/The_dormitory_-_Megachile_Chalicodoma_rufescens_males_and_females.jpeg,Megachile rufescens
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Paramegachile/Megachile (Paramegachile) ericetorum/Megachile_ericetorum_male.jpeg,Megachile ericetorum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Paramegachile/Megachile (Paramegachile) ericetorum/Megachile_ericetorum_female.jpeg,Megachile ericetorum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Callomegachile/Megachile (Callomegachile) sculptularis/Arrived_!__-_Megachile_sculpturalis_female.jpeg,Megachile sculptularis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Callomegachile/Megachile (Callomegachile) sculptularis/Megachile_sculpturalis_male.jpeg,Megachile sculptularis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Callomegachile/Megachile (Callomegachile) sculptularis/Megachile_sculptularis_female.jpeg,Megachile sculptularis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Callomegachile/Megachile (Callomegachile) sculptularis/Megachile_sculptularis_female_-_le_retour.jpeg,Megachile sculptularis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Megachile/Megachile (Megachile) centuncularis/Megachile_centuncularis_female.jpeg,Megachile centuncularis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Megachile/Megachile (Megachile) melanopyga/Megachile_melanopyga__female.jpeg,Megachile melanopyga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Megachile/Megachile (Megachile) melanopyga/Megachile_Melanopyga_female_-_Hymenoptera_Megachilidae.jpeg,Megachile melanopyga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Megachile/Megachile (Megachile) melanopyga/Megachile_melanopyga_female.jpeg,Megachile melanopyga
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Megachile/Megachile (Megachile) versicolor/Megachile_versicolor_female.jpeg,Megachile versicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Megachile/Megachile (Megachile) versicolor/Megachile_genalis_prob_female.jpeg,Megachile versicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Megachile/Megachile (Megachile) pilicrus/Mégachile_pilicrus.jpeg,Megachile pilicrus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Megachile/Megachile (Megachile) pilicrus/Megachile_pilicrus_female.jpeg,Megachile pilicrus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Megachile/Megachile genalis/Megachile_genalis_female.jpeg,Megachile genalis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Megachile/Megachile/Megachile genalis/Megachile_sp_female.jpeg,Megachile genalis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Apinae/Amegilla/Amegilla/Amegilla albigena/Amegilla_albigena_female.jpeg,Amegilla albigena
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Apinae/Amegilla/Amegilla/Amegilla albigena/Amegilla_albigena_male_or_female.jpeg,Amegilla albigena
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Apinae/Amegilla/Amegilla/Amegilla sp/Amegilla_sp_female.jpeg,Amegilla sp
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Apinae/Amegilla/Amegilla/Amegilla (Amegilla) garrula/Amegilla_garrula_female.jpeg,Amegilla garrula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Apinae/Amegilla/Amegilla/Amegilla quadrifasciata/Amegilla_quadrifasciata_female.jpeg,Amegilla quadrifasciata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Apinae/Amegilla/Amegilla/Amegilla quadrifasciata/Amegilla_quadrifasciata_male.jpeg,Amegilla quadrifasciata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Apinae/Amegilla/Amegilla/Amegilla magnilabris/Amegilla_magnilabris_female.jpeg,Amegilla magnilabris
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Apinae/Biastes/Biastes emarginatus/Biastes_emarginatus_female.jpeg,Biastes emarginatus
