Paths,Real labels
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/19062020-P1200406.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/s0494174_bearbei.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/20210725-DSC04964_D-denoise_hwa.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/20210725-DSC05377_D-denoise_hwa.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/30062019-P1103604.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/04072019-P1103626.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/p8112627.jpg.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/Andrena-cf-bicolorata-femelle-Moules-Rte-Mandon-20210223.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/2020-02-05 Rue Albert Einstein hymenoptera 11 a 12 mm 14.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/p3262644_andrena.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/dsc05193w.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/mos_2.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/img_8031.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/img_7984_f.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/andrena.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/dsc04794w2.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/2021-04-13 NDdlG Hymenoptera 14 mm. Andrenidae Andrena thoracica ou assimilis 2.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/dsc04793w.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/img_7990_f.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/2020-02-05 Rue Albert Einstein hymenoptera 11 a 12 mm 12.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/2020-02-05 Rue Albert Einstein hymenoptera 11 a 12 mm 2.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/mosaico_mini5.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/montagew.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/img_3793a.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/2020-02-08 Rue Albert Einstein Hymenoptera 13 a 14 mm Andrenidae Andrena bicolorata femelle 7.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/2020-02-08 Rue Albert Einstein Hymenoptera 13 a 14 mm Andrenidae Andrena bicolorata femelle 2.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/img_3794a.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/2020-02-08 Rue Albert Einstein Hymenoptera 13 a 14 mm Andrenidae Andrena bicolorata femelle 6.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/dsc05197_fovea.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/2020-02-05 Rue Albert Einstein hymenoptera 11 a 12 mm 13.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/p3262640_andrena.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolorata/mosaico_mini.jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/dsc_0146.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/IMGP3669.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/IMG_2535.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/P1010599.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/p1060426.jpg.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/IMG_24050 2.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/prevalaye_statio.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/dsc_0175.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/dsc00206.jpg.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/P4010084-Andrena-femelle - copie.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/andrena_male_8mm.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/Andrena F inc 1.1 Illkirch Parc Klingling 6 04 2018 IMG_3741 - Copie.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/andrene_bicolor.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/23022021-P1236318.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/Andrena bicolor.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/haalictussp.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/img_1336_copie_9.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/andrenidae.1cm.1y.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/P4010079-Andrena-femelle - copie.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/IMG_2538.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/P4061713-hymeno-Andrena-male - copie.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/IMG_24055 2.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/16022018-P1230009.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/andrena.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/andrena9273bis.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/pollinisateur_pr.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/IMGP3665.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/P4010078-Andrena-femelle - copie.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/Andrena 9322.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/Andrena M inc 2.4 Illkirch 17 05 2018 IMG_7566.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/P3251492-Andrena bicolor-femelle - copie.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/andrenap_1725.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/P1010594.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/img_1412_copie_9.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/andrena9278.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/dsc06449_75.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/Andrena M inc 2.7 Illkirch 17 05 2018 IMG_7617.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/Abeille 2.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/17022021-P1236052.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/16022018-P1230010.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/P4061707-hymeno-Andrena-male - copie.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/17022021-P1236050.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/armorique_13_03_.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/10022020-P1168388.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/23022021-P1236338.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/img_1414_copie_9.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/andrena9283.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/23022021-P1236320.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/23022021-P1236339.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/10022020-P1168449.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/Andrena F inc 1.2 Illkirch Parc Klingling 6 04 2018 IMG_3741 - Copie.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/pollinisateur_mo.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/Andrena M inc 2.1 Illkirch 17 05 2018 IMG_7539.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/andrena_bicolor_.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/36507917.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/andrenap_1680.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/andrena_bicolor.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/P4010080-Andrena-femelle - copie.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bicolor/OMD50509_1400.jpg,Andrena bicolor
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena ovatula/p6090147.jpg.jpg,Andrena ovatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena ovatula/p6090146.jpg.jpg,Andrena ovatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena ovatula/img_1400.jpg,Andrena ovatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena variabilis/dsc_2271_56718.jpg,Andrena variabilis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena variabilis/dsc_2280_56727.jpg,Andrena variabilis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena variabilis/16072021-P1259815.jpg,Andrena variabilis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena variabilis/16072021-P1259811.jpg,Andrena variabilis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena variabilis/16072021-P1259812.jpg,Andrena variabilis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena variabilis/img_0265.jpg,Andrena variabilis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena variabilis/16072021-P1259805.jpg,Andrena variabilis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena variabilis/img_0159.jpg,Andrena variabilis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena variabilis/_sp30_2.jpg,Andrena variabilis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena variabilis/16072021-P1259813.jpg,Andrena variabilis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena variabilis/img_0206.jpg,Andrena variabilis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena variabilis/dsc_2264_56711.jpg,Andrena variabilis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena minutula/Andrena 2.jpg,Andrena minutula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena minutula/Andrena tete.jpg,Andrena minutula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena minutula/Hymenoptere Andrena minutula male a confirmer 3.jpg,Andrena minutula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena minutula/Andrena gastre.jpg,Andrena minutula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena minutula/montagew2.jpg,Andrena minutula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena minutula/P1740282.jpg,Andrena minutula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena minutula/dm.jpg,Andrena minutula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena minutula/110319_010.jpg,Andrena minutula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena minutula/Andrena 3.jpg,Andrena minutula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena minutula/110319_002.jpg,Andrena minutula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena minutula/Andrena.jpg,Andrena minutula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena minutula/Hymenoptere Andrena minutula male a confirmer 6.jpg,Andrena minutula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena minutula/Hymenoptere Andrena minutula male a confirmer 5.jpg,Andrena minutula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena minutula/mm.jpg,Andrena minutula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena minutula/P1740211.jpg,Andrena minutula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bimaculata/img_0893.jpg,Andrena bimaculata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bimaculata/img_0896.jpg,Andrena bimaculata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bimaculata/montagewk.jpg,Andrena bimaculata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bimaculata/andrene_12_06_20.jpg,Andrena bimaculata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bimaculata/img_0894.jpg,Andrena bimaculata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bimaculata/_montagew.jpg,Andrena bimaculata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena bimaculata/img_0895.jpg,Andrena bimaculata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena asperrima/a4mg.jpg,Andrena asperrima
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena asperrima/a1by.jpg,Andrena asperrima
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena asperrima/a3cs.jpg,Andrena asperrima
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena asperrima/a23p.jpg,Andrena asperrima
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Andrena/Andrena ranunculi/img_1039.jpg,Andrena ranunculi
